¥i§ë¸ê,¤½¥q¥N½X,¶}½L»ù,³Ì°ª»ù,³Ì§C»ù,¦¬½L»ù,º¦¶^,¥»¯q¤ñ,¦¨¥æ¶q,¦P·~¥­§¡¥»¯q¤ñ,´Þ§Q²v,Á`¥«­È,¤µ¦~¥H¨Ó,¨CªÑ²b­È(¤¸),¨©¥L­È,¨C¤HÀç¦¬(¥a¤¸),¼Ð·Ç®t,¨CªÑÀç¦¬(¤¸),­t¶Å¤ñ¨Ò,ªÑ»ù²b­È¤ñ,"ªÑ¥»(»õ, ¥x¹ô)",Àç·~¤ò§Q²v,²{ª÷ªÑ§Q(¤¸),Àç·~§Q¯q²v,µ|«e²b§Q²v,¸ê²£³ø¹S²v,ªÑªFÅv¯q³ø¹S²v
§_,3705,40.0,40.0,39.65,39.75,-0.1,28.65,48,38.85,5.03,10590,4.74,22.11,0.98,1296,0.65,7.03,48.07,1.8,26.64,48.14,2.0,12.02,12.97,1.66,2.99
§_,6108,27.5,27.55,26.4,26.85,0.45,397.5,1169,14.82,5.03,4293,0.98,23.79,1.15,0,1.94,14.41,65.65,1.13,15.99,16.72,1.35,7.61,14.67,2.36,0.0
§_,1528,9.95,10.0,9.91,9.97,0.02,8.8,164,15.88,5.02,1994,-29.54,12.94,0.37,1419,2.11,6.04,55.28,0.77,20.0,29.26,0.5,3.31,0.77,0.16,2.0
§_,6282,18.15,18.2,17.9,17.95,-0.3,0.0,842,14.82,5.01,9273,-15.65,15.84,1.29,549,1.41,10.02,54.94,1.13,51.66,14.16,0.9,2.48,2.11,0.44,0.91
§_,1531,16.15,16.15,15.9,16.0,-0.05,8.86,75,15.82,5.0,2960,-28.67,20.23,0.38,848,2.09,3.95,24.32,0.79,18.5,21.26,0.8,9.31,11.2,0.39,0.5
§_,2010,10.05,10.05,10.0,10.05,-0.05,10.25,140,35.73,4.98,6509,-8.14,15.9,0.47,0,0.98,7.0,39.69,0.63,64.77,6.3,0.5,1.59,2.63,0.58,0.84
§_,9937,40.0,40.2,40.0,40.2,0.2,0.0,4,18.01,4.98,12424,7.34,15.16,0.0,3354,0.53,19.51,49.11,2.65,30.9,9.64,2.0,2.98,4.07,2.12,4.31
§_,3416,50.3,50.3,49.95,50.3,0.2,24.02,26,16.63,4.97,3027,3.63,28.09,0.89,0,0.87,4.93,14.87,1.79,6.02,36.96,2.5,13.32,15.34,1.82,2.24
§_,4906,20.2,20.25,19.8,19.9,0.05,47.5,4700,98.6,4.96,6946,-18.34,25.73,1.05,0,2.34,12.66,45.98,0.77,34.9,10.98,0.98646,1.85,1.48,0.2,0.28
§_,2850,36.8,37.0,36.75,36.8,0.3,16.22,192,11.53,4.95,11627,35.1,33.23,0.74,2213,1.26,11.88,67.87,1.11,31.6,33.55,1.82,11.77,11.8,1.19,3.83
